,importance,stddev,p_value,n,p99_high,p99_low
pkt_9_ipv4_dst_6,0.06580000000000005,0.010809460876678572,6.359170043443825e-09,10,0.07690875575891183,0.054691244241088274
pkt_2_rts,0.024800000000000023,0.005593647190240813,1.01267033607398e-07,10,0.030548525402591762,0.019051474597408285
pkt_6_rts,0.024400000000000022,0.006518350166176174,4.324373701824318e-07,10,0.031098831770910954,0.01770116822908909
pkt_4_rts,0.023800000000000023,0.002740640638812598,2.730472781838711e-10,10,0.026616524138146677,0.020983475861853368
pkt_5_rts,0.02260000000000002,0.0026749870196985195,3.4873600995144645e-10,10,0.02534905268626322,0.01985094731373682
pkt_9_ipv4_dst_13,0.016000000000000014,0.004521553322083516,6.965825281778128e-07,10,0.02064674714853642,0.01135325285146361
pkt_5_ipv4_dst_6,0.014400000000000013,0.0049710271686152704,3.6936264297984663e-06,10,0.01950866613211056,0.009291333867889466
pkt_1_rts,0.013200000000000012,0.003425395354310704,3.3766724917301236e-07,10,0.01672023850244426,0.00967976149755576
pkt_2_ipv4_dst_13,0.01080000000000001,0.004825856285561033,2.905639988393255e-05,10,0.01575947572367544,0.005840524276324576
pkt_9_ipv4_dst_16,0.009600000000000008,0.0032386554137309683,3.0570865389936967e-06,10,0.012928328062691468,0.006271671937308548
pkt_8_rts,0.009400000000000009,0.005738757124441963,0.00028976629679106384,10,0.01529765317460767,0.003502346825392349
pkt_9_rts,0.009000000000000008,0.002867441755680878,1.9041148445987068e-06,10,0.011946836154011028,0.006053163845988988
pkt_7_rts,0.009000000000000008,0.0035590260840104404,1.1103839149302515e-05,10,0.012657569231058327,0.0053424307689416885
pkt_3_rts,0.008600000000000007,0.004325634186002227,7.158331610546598e-05,10,0.01304540335756903,0.004154596642430984
pkt_8_ipv4_ttl_5,0.008400000000000008,0.0008432740427115686,8.035310409373699e-11,10,0.009266622811737442,0.007533377188262576
pkt_9_ipv4_dst_0,0.008200000000000008,0.002740640638812598,2.830553458070871e-06,10,0.011016524138146664,0.005383475861853351
pkt_9_ipv4_dst_1,0.007800000000000007,0.003190262963734776,1.4521335011010712e-05,10,0.01107859571121565,0.0045214042887843624
pkt_3_tcp_opt_159,0.007600000000000007,0.0029514591494904903,9.605350541137188e-06,10,0.010633179841081022,0.004566820158918992
pkt_1_tcp_wsize_4,0.007000000000000006,0.0016996731711975963,1.9114286711581685e-07,10,0.008746734119695603,0.005253265880304408
pkt_0_tcp_opt_64,0.006800000000000006,0.002149935399546282,1.7862576836585023e-06,10,0.009009463313986913,0.004590536686013098
pkt_7_ipv4_dst_0,0.0064000000000000055,0.0026331223544175356,1.5215267188280116e-05,10,0.009106028862333335,0.003693971137666676
pkt_3_tcp_wsize_4,0.006200000000000006,0.001988857852023508,2.01507039997903e-06,10,0.0082439258136352,0.004156074186364811
pkt_1_tcp_opt_159,0.006000000000000005,0.004618802153517011,0.0013226097570469466,10,0.010746688628371453,0.0012533113716285578
pkt_8_ipv4_ttl_1,0.005600000000000005,0.002065591117977291,6.34092436006758e-06,10,0.007722783688212763,0.0034772163117872466
pkt_1_tcp_opt_96,0.005400000000000005,0.0028362729848243557,9.871654418593269e-05,10,0.008314804374933343,0.0024851956250666655
pkt_6_ipv4_id_6,0.005400000000000005,0.0016465452046971307,1.3201033611989025e-06,10,0.007092135133626404,0.0037078648663736056
pkt_4_ipv4_dst_0,0.0050000000000000044,0.0023570226039551605,4.3856985674838836e-05,10,0.007422284397371132,0.002577715602628877
pkt_1_tcp_seq_8,0.004800000000000004,0.0013984117975602032,9.006049825304607e-07,10,0.0062371313506479386,0.0033628686493520693
pkt_8_ipv4_dst_7,0.004600000000000004,0.00730600970282533,0.03883386176178509,10,0.012108300209127966,-0.002908300209127957
pkt_3_ipv4_dst_1,0.004600000000000004,0.0009660917830792968,5.45760187841317e-08,10,0.0055928411584405665,0.003607158841559442
pkt_2_ipv4_dst_7,0.004600000000000004,0.002503331114069147,0.00012798682918099968,10,0.007172643931750237,0.002027356068249771
pkt_7_ipv4_src_3,0.004200000000000004,0.001988857852023508,4.539356502441504e-05,10,0.006243925813635199,0.002156074186364809
pkt_9_tcp_wsize_0,0.0038000000000000035,0.002740640638812598,0.0008796354150739394,10,0.006616524138146659,0.0009834758618533475
pkt_2_ipv4_dst_9,0.0038000000000000035,0.0006324555320336764,7.1334652771820635e-09,10,0.004449967108803078,0.003150032891196929
pkt_6_ipv4_dst_5,0.0036000000000000034,0.003373096170846274,0.004095855281975795,10,0.007066491246949734,0.0001335087530502728
pkt_1_tcp_wsize_1,0.003400000000000003,0.003533962208186289,0.006981725748253997,10,0.007031811380775252,-0.00023181138077524614
pkt_4_ipv4_dst_7,0.003400000000000003,0.0028362729848243552,0.0021386963183481506,10,0.006314804374933342,0.0004851956250666641
pkt_9_ipv4_dst_18,0.0032000000000000028,0.0013984117975602032,2.4439981213895268e-05,10,0.004637131350647937,0.0017628686493520681
pkt_7_ipv4_dst_6,0.0032000000000000028,0.003552776691859797,0.009571472087744682,10,0.006851146804275415,-0.00045114680427540965
pkt_6_ipv4_dst_6,0.0032000000000000028,0.002149935399546282,0.0005547586579109906,10,0.005409463313986911,0.000990536686013095
pkt_6_tcp_seq_18,0.0030000000000000027,0.0014142135623730961,4.3856985674838673e-05,10,0.004453370638422679,0.0015466293615773266
pkt_9_ipv4_src_13,0.0030000000000000027,0.0023570226039551605,0.0014978887256994126,10,0.00542228439737113,0.0005777156026288751
pkt_8_ipv4_src_17,0.0028000000000000026,0.0013984117975602034,6.788832696959449e-05,10,0.004237131350647938,0.0013628686493520675
pkt_7_tcp_wsize_5,0.0028000000000000026,0.002149935399546282,0.0013020004911878473,10,0.00500946331398691,0.0005905366860130949
pkt_8_tcp_seq_8,0.0028000000000000026,0.0013984117975602032,6.788832696959444e-05,10,0.004237131350647938,0.001362868649352068
pkt_5_tcp_dprt_5,0.0028000000000000026,0.0010327955589886455,6.34092436006758e-06,10,0.0038613918441063816,0.0017386081558936233
pkt_1_ipv4_dst_16,0.0028000000000000026,0.002149935399546282,0.0013020004911878473,10,0.00500946331398691,0.0005905366860130949
pkt_8_ipv4_src_13,0.0028000000000000026,0.0025298221281347057,0.003361757881529476,10,0.005399868435212301,0.00020013156478770455
pkt_2_ipv4_dst_25,0.0026000000000000025,0.001349897115421107,9.06313675631742e-05,10,0.003987273382637042,0.0012127266173629627
pkt_4_ipv4_dst_6,0.0026000000000000025,0.0016465452046971307,0.0003728090300636282,10,0.0042921351336264015,0.0009078648663736033
pkt_8_tcp_opt_37,0.002400000000000002,0.0022705848487901887,0.004312790926639104,10,0.004733453333414189,6.654666658581542e-05
pkt_8_ipv4_src_16,0.002400000000000002,0.0015776212754932324,0.000479655149561838,10,0.004021302822542086,0.0007786971774579182
pkt_5_ipv4_dst_1,0.002400000000000002,0.0026331223544175356,0.009054910831625256,10,0.005106028862333332,-0.00030602886233332743
pkt_7_ipv4_dst_13,0.002400000000000002,0.002458545188611439,0.006496393243878684,10,0.004926617963108275,-0.00012661796310827053
pkt_0_tcp_seq_24,0.002400000000000002,0.001264911064067353,0.0001012496610338204,10,0.003699934217606151,0.001100065782393853
pkt_5_tcp_seq_19,0.002200000000000002,0.0011352924243950944,8.663861843908409e-05,10,0.0033667266667070954,0.0010332733332929086
pkt_9_tcp_ackn_26,0.002200000000000002,0.0006324555320336764,8.049662396967849e-07,10,0.0028499671088030765,0.0015500328911969273
pkt_2_tcp_sprt_5,0.002200000000000002,0.0011352924243950944,8.663861843908409e-05,10,0.0033667266667070954,0.0010332733332929086
pkt_8_tcp_opt_29,0.0020000000000000018,0.0,0.5,10,0.0020000000000000018,0.0020000000000000018
pkt_8_tcp_ackn_10,0.0020000000000000018,0.0,0.5,10,0.0020000000000000018,0.0020000000000000018
pkt_9_ipv4_dfbit_0,0.0020000000000000018,0.0013333333333333346,0.0005269356285082764,10,0.003370250978674797,0.0006297490213252066
pkt_5_ipv4_dst_17,0.0020000000000000018,0.0013333333333333346,0.0005269356285082764,10,0.003370250978674797,0.0006297490213252066
pkt_9_ipv4_dst_9,0.0020000000000000018,0.0018856180831641285,0.004234075201577115,10,0.003937827517896904,6.217248210309972e-05
pkt_5_tcp_ackn_27,0.0020000000000000018,0.0,0.5,10,0.0020000000000000018,0.0020000000000000018
pkt_2_ipv4_src_17,0.0020000000000000018,0.002108185106778922,0.007478181955207101,10,0.004166557029343584,-0.00016655702934358042
pkt_1_tcp_seq_13,0.0020000000000000018,0.0,0.5,10,0.0020000000000000018,0.0020000000000000018
pkt_4_ipv4_dst_5,0.0018000000000000017,0.001475729574745245,0.001931948821163274,10,0.0033165899205405084,0.00028341007945949476
pkt_1_ipv4_dst_0,0.0018000000000000017,0.0006324555320336764,4.269025611583142e-06,10,0.0024499671088030763,0.001150032891196927
pkt_5_tcp_dprt_13,0.0018000000000000017,0.0006324555320336764,4.269025611583142e-06,10,0.0024499671088030763,0.001150032891196927
pkt_4_ipv4_id_10,0.0018000000000000017,0.0011352924243950944,0.0003626075138016964,10,0.002966726666707095,0.0006332733332929084
pkt_2_tcp_opt_68,0.0018000000000000017,0.0006324555320336764,4.269025611583142e-06,10,0.0024499671088030763,0.001150032891196927
pkt_5_ipv4_src_16,0.0018000000000000017,0.0014757295747452452,0.0019319488211632777,10,0.0033165899205405093,0.0002834100794594943
pkt_8_tcp_seq_21,0.0018000000000000017,0.001475729574745245,0.001931948821163274,10,0.0033165899205405084,0.00028341007945949476
pkt_9_tcp_opt_46,0.0018000000000000017,0.0006324555320336764,4.269025611583142e-06,10,0.0024499671088030763,0.001150032891196927
pkt_7_ipv4_dst_11,0.0018000000000000017,0.0006324555320336764,4.269025611583142e-06,10,0.0024499671088030763,0.001150032891196927
pkt_8_tcp_ackn_21,0.0016000000000000014,0.0008432740427115685,0.0001012496610338204,10,0.002466622811737434,0.0007333771882625687
pkt_4_ipv4_src_27,0.0016000000000000014,0.0008432740427115685,0.0001012496610338204,10,0.002466622811737434,0.0007333771882625687
pkt_0_ipv4_ttl_0,0.0016000000000000014,0.0008432740427115685,0.0001012496610338204,10,0.002466622811737434,0.0007333771882625687
pkt_4_tcp_sprt_12,0.0016000000000000014,0.0015776212754932321,0.005354009977837393,10,0.003221302822542085,-2.1302822542082142e-05
pkt_8_ipv4_src_4,0.0016000000000000014,0.0008432740427115685,0.0001012496610338204,10,0.002466622811737434,0.0007333771882625687
pkt_6_tcp_wsize_12,0.0016000000000000014,0.0008432740427115685,0.0001012496610338204,10,0.002466622811737434,0.0007333771882625687
pkt_9_tcp_opt_86,0.0016000000000000014,0.0018378731669453645,0.011183594840286044,10,0.003488760629265273,-0.0002887606292652702
pkt_6_tcp_dprt_13,0.0016000000000000014,0.0008432740427115685,0.0001012496610338204,10,0.002466622811737434,0.0007333771882625687
